reporting_phase,track,model_key,prediction_micro_count,eligible_prediction_micro_count,successful_prediction_micro_count,skipped_prediction_micro_count,failed_prediction_micro_count,micro_wmape,micro_mae,failure_reason_counts,ineligibility_reason_counts,common_cohort_observation_count,common_cohort_wmape,is_phase_champion,is_common_cohort_champion,is_product_routing_recommendation,available_cohort_rank,common_cohort_rank
H03_05,seen_entity,gradient_boosting,1065,1065,1065,0,0,0.35170909256244065,33330.07179704221,"{""<NONE>"":1065}","{""<NONE>"":1065}",,,False,False,False,4.0,
H03_05,seen_entity,catboost,1065,1065,1065,0,0,0.6145478167539564,58238.25226096045,"{""<NONE>"":1065}","{""<NONE>"":1065}",,,False,False,False,5.0,
H03_05,seen_entity,deepar,1065,0,0,1065,0,,,"{""<NONE>"":1065}","{""MINIMUM_CONTEXT_6_MONTHS"":1065}",,,False,False,False,,
H03_05,seen_entity,nbeats,1065,0,0,1065,0,,,"{""<NONE>"":1065}","{""MINIMUM_CONTEXT_6_MONTHS"":1065}",,,False,False,False,,
H03_05,unseen_entity,lightgbm,177,177,177,0,0,0.14444766487053937,27568.104593536016,"{""<NONE>"":177}","{""<NONE>"":177}",,,False,False,False,1.0,
H03_05,unseen_entity,deterministic_baseline,59,59,59,0,0,0.17688654033963738,33759.12410659133,"{""<NONE>"":59}","{""<NONE>"":59}",,,False,False,False,2.0,
H03_05,unseen_entity,gradient_boosting,177,177,177,0,0,0.2340925298823923,44676.993249750056,"{""<NONE>"":177}","{""<NONE>"":177}",,,False,False,False,3.0,
H03_05,unseen_entity,ridge,177,177,177,0,0,0.36406600933722194,69482.67272686661,"{""<NONE>"":177}","{""<NONE>"":177}",,,False,False,False,4.0,
H03_05,unseen_entity,catboost,177,177,177,0,0,0.7846710501381549,149755.92441121076,"{""<NONE>"":177}","{""<NONE>"":177}",,,False,False,False,5.0,
H03_05,unseen_entity,deepar,177,0,0,177,0,,,"{""<NONE>"":177}","{""MINIMUM_CONTEXT_6_MONTHS"":177}",,,False,False,False,,
